Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Deportivo de La Coruña,1,79,77,77,17,Leganés,0,74,75,74,12,09/12/2017,13:00,15,2
Valencia,2,80,80,80,33,Celta de Vigo,1,78,78,78,26,09/12/2017,16:15,15,2
Real Madrid,5,86,86,86,25,Sevilla,0,80,80,79,19,09/12/2017,18:30,15,2
Getafe,0,75,74,75,20,Eibar,0,77,78,75,16,09/12/2017,20:45,15,1
Real Sociedad,0,80,78,76,28,Málaga,2,75,75,75,11,10/12/2017,12:00,15,0
Levante,1,75,76,75,14,Athletic Club,2,81,79,78,14,10/12/2017,16:15,15,0
Villarreal,0,79,79,80,22,Barcelona,2,93,84,84,36,10/12/2017,18:30,15,0
Betis,0,79,79,76,23,Atlético de Madrid,1,85,82,83,23,10/12/2017,20:45,15,0
Espanyol,0,79,78,76,11,Girona,1,79,76,75,18,11/12/2017,21:00,15,0
Sevilla,0,80,80,79,19,Levante,0,75,76,75,15,15/12/2017,21:00,16,1
Eibar,2,77,78,75,16,Valencia,1,80,80,80,35,16/12/2017,16:15,16,2
Athletic Club,0,81,79,78,16,Real Sociedad,0,80,78,76,28,16/12/2017,18:30,16,1
Atlético de Madrid,1,85,82,83,24,Alavés,0,77,75,74,12,16/12/2017,20:45,16,2
Celta de Vigo,0,78,78,78,27,Villarreal,1,79,79,80,22,17/12/2017,12:00,16,0
Barcelona,4,93,84,84,38,Deportivo de La Coruña,0,79,77,77,18,17/12/2017,16:15,16,2
Las Palmas,2,77,74,75,11,Espanyol,2,79,78,76,11,17/12/2017,18:30,16,1
Girona,1,79,76,75,19,Getafe,0,75,74,75,20,17/12/2017,20:45,16,2
Málaga,0,75,75,75,13,Betis,2,79,79,76,23,18/12/2017,21:00,16,0
Leganés,1,74,75,74,12,Real Madrid,3,86,86,86,30,21/02/2018,18:45,16,0
Levante,0,75,76,75,15,Leganés,0,74,75,74,13,19/12/2017,21:30,17,1
Getafe,2,75,74,75,20,Las Palmas,0,77,74,75,13,20/12/2017,19:30,17,2
Real Sociedad,3,80,78,76,28,Sevilla,1,80,80,79,19,20/12/2017,21:30,17,2
Eibar,4,77,78,75,18,Girona,1,79,76,75,20,21/12/2017,19:30,17,2
Alavés,1,77,75,74,12,Málaga,0,75,75,75,13,21/12/2017,21:30,17,2
Betis,0,79,79,76,25,Athletic Club,2,81,79,78,16,22/12/2017,19:30,17,0
Espanyol,1,79,78,76,13,Atlético de Madrid,0,85,82,83,25,22/12/2017,21:30,17,2
Deportivo de La Coruña,1,79,77,77,18,Celta de Vigo,3,78,78,78,27,23/12/2017,13:00,17,0
Valencia,0,80,80,80,36,Villarreal,1,79,79,80,23,23/12/2017,16:15,17,0
Real Madrid,0,86,86,86,33,Barcelona,3,93,84,84,42,23/12/2017,18:30,17,0
Las Palmas,1,77,74,75,13,Eibar,2,77,78,75,22,06/01/2018,13:00,18,0
Valencia,2,80,80,80,36,Girona,1,79,76,75,21,06/01/2018,16:15,18,2
Sevilla,3,80,80,79,20,Betis,5,79,79,76,25,06/01/2018,18:30,18,0
Atlético de Madrid,2,85,82,83,25,Getafe,0,75,74,75,22,06/01/2018,20:45,18,2
Barcelona,3,93,84,84,45,Levante,0,75,76,75,15,07/01/2018,12:00,18,2
Villarreal,1,79,79,80,24,Deportivo de La Coruña,1,79,77,77,19,07/01/2018,16:15,18,1
Leganés,1,74,75,74,13,Real Sociedad,0,80,78,76,31,07/01/2018,18:30,18,2
Celta de Vigo,2,78,78,78,30,Real Madrid,2,86,86,86,33,07/01/2018,18:30,18,1
Athletic Club,2,81,79,78,18,Alavés,0,77,75,74,13,07/01/2018,20:45,18,2
Málaga,0,75,75,75,13,Espanyol,1,79,78,76,14,08/01/2018,21:00,18,0
Getafe,1,75,74,75,22,Málaga,0,75,75,75,13,12/01/2018,21:00,19,2
Girona,6,79,76,75,22,Las Palmas,0,77,74,75,14,13/01/2018,13:00,19,2
Deportivo de La Coruña,1,79,77,77,20,Valencia,2,80,80,80,38,13/01/2018,16:15,19,0
Real Madrid,0,86,86,86,35,Villarreal,1,79,79,80,25,13/01/2018,18:30,19,0
Eibar,0,77,78,75,24,Atlético de Madrid,1,85,82,83,27,13/01/2018,20:45,19,0
Alavés,1,77,75,74,13,Sevilla,0,80,80,79,23,14/01/2018,12:00,19,2
Espanyol,1,79,78,76,15,Athletic Club,1,81,79,78,20,14/01/2018,16:15,19,1
Levante,0,75,76,75,15,Celta de Vigo,1,78,78,78,32,14/01/2018,18:30,19,0
Real Sociedad,2,80,78,76,31,Barcelona,4,93,84,84,48,14/01/2018,20:45,19,0
Betis,3,79,79,76,30,Leganés,2,74,75,74,14,15/01/2018,21:00,19,2
Getafe,2,75,74,75,23,Athletic Club,2,81,79,78,21,19/01/2018,21:00,20,1
Atlético de Madrid,1,85,82,83,28,Girona,1,79,76,75,28,20/01/2018,13:00,20,1
Las Palmas,2,77,74,75,14,Valencia,1,80,80,80,40,20/01/2018,16:15,20,2
Villarreal,2,79,79,80,26,Levante,1,75,76,75,15,20/01/2018,18:30,20,2
Espanyol,0,79,78,76,16,Sevilla,3,80,80,79,23,20/01/2018,20:45,20,0
Real Madrid,7,86,86,86,35,Deportivo de La Coruña,1,79,77,77,21,21/01/2018,12:00,20,2
Betis,0,79,79,76,33,Barcelona,5,93,84,84,52,21/01/2018,16:15,20,0
Real Sociedad,1,80,78,76,33,Celta de Vigo,2,78,78,78,33,21/01/2018,18:30,20,0
Alavés,2,77,75,74,14,Leganés,2,74,75,74,16,21/01/2018,20:45,20,1
Eibar,1,77,78,75,24,Málaga,1,75,75,75,13,22/01/2018,21:00,20,1
Athletic Club,1,81,79,78,23,Eibar,1,77,78,75,25,26/01/2018,21:00,21,1
Deportivo de La Coruña,2,79,77,77,22,Levante,2,75,76,75,16,27/01/2018,13:00,21,1
Valencia,1,80,80,80,41,Real Madrid,4,86,86,86,42,27/01/2018,16:15,21,0
Málaga,0,75,75,75,14,Girona,0,79,76,75,29,27/01/2018,18:30,21,1
Villarreal,4,79,79,80,28,Real Sociedad,2,80,78,76,34,27/01/2018,20:45,21,2
Sevilla,1,80,80,79,26,Getafe,1,75,74,75,25,28/01/2018,12:00,21,1
Barcelona,2,93,84,84,57,Alavés,1,77,75,74,16,28/01/2018,16:15,21,2
Atlético de Madrid,3,85,82,83,29,Las Palmas,0,77,74,75,16,28/01/2018,18:30,21,2
Leganés,3,74,75,74,18,Espanyol,2,79,78,76,16,28/01/2018,20:45,21,2
Celta de Vigo,3,78,78,78,35,Betis,2,79,79,76,33,29/01/2018,21:00,21,2
Real Sociedad,5,80,78,76,36,Deportivo de La Coruña,0,79,77,77,24,02/02/2018,21:00,22,2
Alavés,2,77,75,74,17,Celta de Vigo,1,78,78,78,38,03/02/2018,13:00,22,2
Betis,2,79,79,76,35,Villarreal,1,79,79,80,32,03/02/2018,16:15,22,2
