Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Las Palmas,0,77,79,76,16,Espanyol,0,78,77,76,9,2016-10-14,20:45,8,1,C659M,"21,2","23,1","25,0","0,6","1005,5","1008,1","2,8","11,9"
Leganés,2,74,76,75,7,Sevilla,3,80,81,80,13,2016-10-15,13:00,8,0,3195,"8,0","12,8","17,7","0,0","936,1","940,1","0,6","5,6"
Barcelona,4,92,85,83,22,Deportivo de La Coruña,0,77,77,76,5,2016-10-15,16:15,8,2,0076,"13,1","18,3","23,5","0,0","1011,1","1017,7","3,6","8,3"
Atlético de Madrid,7,84,82,84,14,Granada,1,78,73,72,7,2016-10-15,18:30,8,2,3195,"8,0","12,8","17,7","0,0","936,1","940,1","0,6","5,6"
Betis,1,79,76,74,8,Real Madrid,6,88,86,86,16,2016-10-15,20:45,8,0,5783,"10,6","18,0","25,3","0,0","1009,6","1012,5","1,9","7,2"
Alavés,1,73,76,75,8,Málaga,1,77,77,76,7,2016-10-16,12:00,8,1,9091R,"7,6","12,8","18,0","0,0","956,5","961,4","1,7","5,8"
Athletic Club,3,80,81,79,10,Real Sociedad,2,79,78,76,9,2016-10-16,16:15,8,2,1082,"14,9","18,2","21,6","0,8","1008,5","1015,7","2,2","13,9"
Sporting de Gijón,1,75,73,73,6,Valencia,2,78,79,79,9,2016-10-16,18:30,8,0,1207U,"12,9","16,4","19,8","2,0","1008,1","1016,6","0,8","3,9"
Villarreal,5,79,81,79,9,Celta de Vigo,0,79,79,78,9,2016-10-16,20:45,8,2,8500A,"14,8","19,8","24,7","0,0","1012,5","1016,1","2,2","6,7"
Eibar,2,78,77,76,9,Osasuna,3,75,73,73,7,2016-10-17,20:45,8,0,1050J,"13,3","16,6","20,0","6,4","1006,9","1014,3","0,3","4,7"
Osasuna,1,75,73,73,10,Betis,2,79,76,74,9,2016-10-21,20:45,9,0,9263D,-,-,-,"0,0",-,-,"0,8",-
Espanyol,3,78,77,76,9,Eibar,3,78,77,76,11,2016-10-22,13:00,9,1,0076,"13,6","16,3","19,0","2,1","1008,6","1014,0","3,9","11,4"
Valencia,2,78,79,79,11,Barcelona,3,92,85,83,26,2016-10-22,16:15,9,0,8414A,"14,9","17,8","20,7","4,7","1001,0","1005,8","1,9","8,3"
Real Sociedad,3,79,78,76,11,Alavés,0,73,76,75,9,2016-10-22,18:30,9,2,1014A,"7,0","15,0","23,1","0,0","1001,0","1011,4","1,9","7,8"
Granada,0,78,73,72,8,Sporting de Gijón,0,75,73,73,7,2016-10-22,20:45,9,1,5530E,"10,4","16,6","22,8","0,5","944,5","947,3","2,5","11,7"
